Gene,Line,Genotype1,Genotype2,Sex,Rep,Time,Tap
Odc1-Snr1,64498-32372,1,1,M,45,40.11,N
Odc1-Snr1,64498-32372,1,1,F,50,40.11,N
Snr1,32372,0,1,F,1,40.14,N
CG5877-Snr1,55690-32372,1,1,F,29,40.14,N
Snr1,32372,0,1,F,24,40.17,N
Control,control,0,0,F,24,40.18,N
Snr1,32372,0,1,F,3,40.18,N
Control,control,0,0,M,40,40.2,N
Odc1-Snr1,64498-32372,1,1,M,8,40.2,N
CG5877,55690,1,0,F,46,40.21,N
Snr1,32372,0,1,F,9,40.22,N
Control,control,0,0,M,22,40.24,N
CG5877,55690,1,0,M,4,40.28,N
Snr1,32372,0,1,F,5,40.28,N
CG5877-Snr1,55690-32372,1,1,M,24,40.28,N
CG5877-Snr1,55690-32372,1,1,F,7,40.29,N
Odc1-Snr1,64498-32372,1,1,F,32,40.29,N
Control,control,0,0,M,42,40.31,N
Snr1,32372,0,1,F,32,40.32,N
CG5877-Snr1,55690-32372,1,1,F,16,40.32,N
Snr1,32372,0,1,M,17,40.35,N
Snr1,32372,0,1,F,37,40.37,N
CG5877,55690,1,0,F,3,40.38,N
Odc1,64498,1,0,M,41,40.38,N
Control,control,0,0,F,1,40.39,N
Control,control,0,0,M,17,40.41,N
Odc1-Snr1,64498-32372,1,1,F,49,40.42,N
Snr1,32372,0,1,M,41,40.43,N
Odc1-Snr1,64498-32372,1,1,M,33,40.43,N
Control,control,0,0,M,13,40.46,N
Snr1,32372,0,1,F,23,40.46,N
Snr1,32372,0,1,F,40,40.47,N
CG5877-Snr1,55690-32372,1,1,M,23,40.47,N
Control,control,0,0,F,23,40.49,N
Odc1,64498,1,0,F,42,40.53,N
CG5877,55690,1,0,M,39,40.55,N
Snr1,32372,0,1,F,30,40.57,N
Odc1-Snr1,64498-32372,1,1,F,7,40.57,N
Control,control,0,0,M,39,40.59,N
Odc1,64498,1,0,M,50,40.59,N
Control,control,0,0,M,4,40.6,N
Control,control,0,0,M,10,40.61,N
Odc1-Snr1,64498-32372,1,1,F,9,40.62,N
CG5877,55690,1,0,M,10,40.65,N
CG5877,55690,1,0,F,36,40.65,N
Odc1,64498,1,0,F,44,40.66,N
Control,control,0,0,M,12,40.67,N
Odc1,64498,1,0,M,1,40.67,N
Odc1,64498,1,0,F,28,40.67,N
CG5877-Snr1,55690-32372,1,1,M,41,40.67,N
Control,control,0,0,F,9,40.71,N
Control,control,0,0,M,5,40.72,N
Control,control,0,0,F,27,40.75,N
Control,control,0,0,M,48,40.8,N
CG5877-Snr1,55690-32372,1,1,M,16,40.81,N
Odc1-Snr1,64498-32372,1,1,F,17,40.81,N
CG5877,55690,1,0,F,45,40.83,N
CG5877-Snr1,55690-32372,1,1,M,20,40.84,N
CG5877,55690,1,0,F,16,40.87,N
Control,control,0,0,F,7,40.89,N
Odc1-Snr1,64498-32372,1,1,F,1,40.89,N
CG5877,55690,1,0,F,6,40.96,N
Snr1,32372,0,1,F,25,40.98,N
Control,control,0,0,F,32,41.02,N
Control,control,0,0,F,47,41.02,N
Odc1-Snr1,64498-32372,1,1,F,2,41.03,N
Odc1,64498,1,0,M,49,41.05,N
CG5877,55690,1,0,F,50,41.08,N
CG5877-Snr1,55690-32372,1,1,M,10,41.08,N
Odc1-Snr1,64498-32372,1,1,M,4,41.1,N
Odc1-Snr1,64498-32372,1,1,F,36,41.11,N
Odc1-Snr1,64498-32372,1,1,M,6,41.13,N
CG5877-Snr1,55690-32372,1,1,F,25,41.14,N
Control,control,0,0,M,31,41.17,N
Odc1-Snr1,64498-32372,1,1,F,43,41.18,N
Control,control,0,0,F,15,41.19,N
Control,control,0,0,F,25,41.2,N
Control,control,0,0,M,34,41.22,N
Odc1-Snr1,64498-32372,1,1,F,29,41.22,N
CG5877,55690,1,0,F,17,41.23,N
Control,control,0,0,M,46,41.25,N
