lobe,length_left,norm_length_left,sex,gene,line,driver,length_right,norm_length_right,avg_norm_length
alpha,64.209,0.627592611,M,brm,35211,ubi156,59.728,0.583794351,0.605693481
alpha,65.813,0.597593753,M,brm,35211,ubi156,65.839,0.597829837,0.597711795
alpha,62.161,0.58636921,F,brm,35211,ubi156,64.407,0.607555891,0.596962551
alpha,67.679,0.582886918,F,brm,35211,ubi156,70.324,0.60566704,0.594276979
alpha,62.456,0.593744653,M,brm,35211,ubi156,60.904,0.578990398,0.586367526
alpha,64.552,0.583336346,F,brm,35211,ubi156,65.09,0.588198084,0.585767215
alpha,72.3625083,0.579232573,F,brm,35211,ubi156,71.82067418,0.57489541,0.577063992
alpha,61.97,0.60025184,M,brm,35211,ubi156,57.167,0.553729175,0.576990508
alpha,57.521,0.549336262,M,brm,35211,ubi156,60.778,0.580441219,0.564888741
alpha,65.709,0.573477047,F,brm,35211,ubi156,62.914,0.54908361,0.561280329
alpha,59.188,0.562249454,M,brm,35211,ubi156,58.908,0.559589627,0.560919541
alpha,68.024,0.589820515,F,brm,35211,ubi156,61.258,0.53115408,0.560487298
alpha,65.367,0.554945242,F,brm,35211,ubi156,65.051,0.552262501,0.553603872
alpha,57.935,0.506292056,M,brm,35211,ubi156,66.542,0.581508346,0.543900201
alpha,61.483,0.529614954,F,brm,35211,ubi156,64.313,0.553992592,0.541803773
alpha,72.074,0.592178128,F,brm,35211,ubi156,59.227,0.486623942,0.539401035
alpha,66.455,0.569500386,F,brm,35211,ubi156,59.294,0.508132659,0.538816523
beta,48.3,0.538767861,M,brm,35211,ubi156,46.751,0.521489364,0.530128613
alpha,67.813,0.519162456,F,brm,35211,ubi156,70.388,0.538876129,0.529019293
beta,48.514,0.489308912,M,brm,35211,ubi156,54.262,0.54728285,0.518295881
alpha,60.74,0.48979921,F,brm,35211,ubi156,67.4,0.543504556,0.516651883
beta,65.3,0.513485885,F,brm,35211,ubi156,65.903,0.518227569,0.515856727
beta,50.485,0.505370532,M,brm,35211,ubi156,52.445,0.52499074,0.515180636
beta,59.78,0.540213266,F,brm,35211,ubi156,53.682,0.485107537,0.512660402
beta,58.327,0.529619541,M,brm,35211,ubi156,54.522,0.495069463,0.512344502
beta,53.011,0.503571768,M,brm,35211,ubi156,54.398,0.516747411,0.51015959
beta,61.166,0.522384491,F,brm,35211,ubi156,58.038,0.495669997,0.509027244
beta,45.739,0.483514276,M,brm,35211,ubi156,50.371,0.532479888,0.507997082
beta,57.202,0.492653518,F,brm,35211,ubi156,60.717,0.522926535,0.507790027
beta,52.67,0.524183917,M,brm,35211,ubi156,48.988,0.487539809,0.505861863
alpha,60.287,0.506443212,F,brm,35211,ubi156,60.116,0.50500672,0.505724966
beta,57.213,0.546394805,M,brm,35211,ubi156,48.602,0.464158151,0.505276478
beta,57.256,0.502333743,M,brm,35211,ubi156,57.903,0.508010177,0.50517196
alpha,68.637,0.501439217,F,brm,35211,ubi156,69.603,0.508496493,0.504967855
beta,54.018,0.513527902,M,brm,35211,ubi156,52.108,0.495370282,0.504449092
beta,55.239,0.498456957,F,brm,35211,ubi156,56.493,0.509772604,0.504114781
beta,53.234,0.555226434,M,brm,35211,ubi156,42.403,0.442259955,0.498743195
beta,48.604,0.486979871,M,brm,35211,ubi156,50.43,0.505275181,0.496127526
beta,56.298,0.545311895,M,brm,35211,ubi156,46.09,0.44643549,0.495873693
beta,55.59,0.493782199,F,brm,35211,ubi156,55.69,0.494670457,0.494226328
beta,58.373,0.495568384,F,brm,35211,ubi156,57.695,0.489812378,0.492690381
beta,56.876,0.496386804,F,brm,35211,ubi156,55.176,0.481550009,0.488968407
beta,50.733,0.495875281,M,brm,35211,ubi156,49.294,0.481810185,0.488842733
beta,55.751,0.487206152,M,brm,35211,ubi156,54.502,0.476291182,0.481748667
beta,50.295,0.474436374,F,brm,35211,ubi156,51.767,0.488321856,0.481379115
beta,57.986,0.476427574,F,brm,35211,ubi156,59.125,0.485785884,0.481106729
alpha,72.476,0.461601172,F,brm,35211,ubi156,78.517,0.500076428,0.4808388
beta,61.93897398,0.495796402,F,brm,35211,ubi156,58.11141207,0.465158319,0.480477361
beta,60.557,0.467910678,F,brm,35211,ubi156,63.709,0.492265492,0.480088085
beta,57.504,0.495339823,F,brm,35211,ubi156,53.669,0.462305108,0.478822466
beta,44.156,0.452362414,M,brm,35211,ubi156,49.233,0.504374462,0.478368438
beta,54.49,0.480045811,M,brm,35211,ubi156,53.69,0.472997974,0.476521893
beta,55.418,0.474916445,F,brm,35211,ubi156,55.549,0.476039078,0.475477762
beta,51.887,0.470076101,M,brm,35211,ubi156,52.792,0.47827505,0.474175576
beta,55.336,0.464852151,F,brm,35211,ubi156,57.343,0.48171203,0.473282091
beta,50.055,0.483436353,M,brm,35211,ubi156,47.664,0.460343828,0.471890091
beta,62.481,0.478341755,F,brm,35211,ubi156,60.39,0.462333486,0.470337621
beta,52.339,0.466687472,M,brm,35211,ubi156,51.737,0.461319661,0.464003567
beta,54.701,0.441101524,F,brm,35211,ubi156,59.939,0.483340053,0.462220789
beta,69.441,0.442271193,F,brm,35211,ubi156,71.79,0.457232023,0.449751608
beta,62.881,0.459387785,F,brm,35211,ubi156,59.864,0.437346581,0.448367183
beta,44.69,0.387496748,F,brm,35211,ubi156,57.98,0.502731293,0.445114021
alpha,55.914,0.43967917,F,brm,35211,ubi156,53.736,0.422552489,0.43111583
alpha,0,0,F,osa,35447,ubi156,49.54957954,0.443549413,0.443549413
alpha,68.92090071,0.749738992,F,osa,35447,ubi156,57.64895399,0.627119904,0.688429448
alpha,67.91024716,0.654557211,M,osa,35447,ubi156,71.06856341,0.684998842,0.669778027
alpha,69.59415937,0.698488577,M,osa,35447,ubi156,62.69296463,0.629224062,0.66385632
alpha,66.951,0.693850267,M,osa,35447,ubi156,57.494,0.595842142,0.644846205
alpha,72.60159419,0.678241652,F,osa,35447,ubi156,64.82433447,0.605586753,0.641914203
alpha,66.09689241,0.618850822,M,osa,35447,ubi156,70.13989994,0.656704622,0.637777722
alpha,63.58012714,0.614589828,F,osa,35447,ubi156,65.09925867,0.629274334,0.621932081
alpha,64.06755424,0.602065451,M,osa,35447,ubi156,68.12225175,0.640168877,0.621117164
alpha,68.13423742,0.629868778,M,osa,35447,ubi156,63.54137108,0.587409902,0.60863934
alpha,59.55702018,0.583560483,F,osa,35447,ubi156,64.19981692,0.629052227,0.606306355
alpha,65.63873011,0.59414111,M,osa,35447,ubi156,68.08334304,0.616268976,0.605205043
beta,59.553,0.617180699,M,osa,35447,ubi156,54.574,0.565580566,0.591380633
alpha,61.31981507,0.601724715,F,osa,35447,ubi156,58.93153181,0.57828875,0.590006733
alpha,96.25734019,0.693348743,F,osa,35447,ubi156,66.30716765,0.477615434,0.585482089
alpha,62.94864945,0.555049422,M,osa,35447,ubi156,68.54383076,0.604384908,0.579717165
beta,50.52367672,0.549609336,F,osa,35447,ubi156,54.2659415,0.590318638,0.569963987
alpha,62.64258715,0.583779422,F,osa,35447,ubi156,58.17353453,0.542131383,0.562955403
alpha,47.3780495,0.474058102,M,osa,35447,ubi156,64.26785983,0.64305517,0.558556636
beta,60.57320716,0.542228829,F,osa,35447,ubi156,62.94828234,0.563489619,0.552859224
alpha,62.34941854,0.506184136,F,osa,35447,ubi156,72.83603679,0.59131981,0.548751973
alpha,51.11141695,0.487452284,F,osa,35447,ubi156,62.50651097,0.596127898,0.541790091
alpha,68.65627352,0.646930651,M,osa,35447,ubi156,46.1587553,0.434942243,0.540936447
beta,57.86720459,0.541798046,M,osa,35447,ubi156,57.56832527,0.538999704,0.540398875
alpha,61.52722141,0.535018181,M,osa,35447,ubi156,61.57091866,0.535398156,0.535208169
alpha,60.724,0.508618812,M,osa,35447,ubi156,67.031,0.561445682,0.535032247
alpha,58.012,0.53187861,M,osa,35447,ubi156,58.643,0.537663886,0.534771248
beta,52.55398128,0.501402096,M,osa,35447,ubi156,59.43903771,0.567090397,0.534246247
alpha,46.78331033,0.424499724,M,osa,35447,ubi156,70.96642951,0.643931127,0.534215426
beta,50.36020194,0.464382548,F,osa,35447,ubi156,64.93036731,0.598737262,0.531559905
beta,59.91056345,0.54229155,M,osa,35447,ubi156,55.9129015,0.506105973,0.524198762
beta,54.28895966,0.52326757,M,osa,35447,ubi156,54.37553298,0.524102013,0.523684792
alpha,57.55079925,0.515742514,M,osa,35447,ubi156,59.1814472,0.530355595,0.523049055
