Monitor,Channel,Line,Sex,sleep_bout_count,Light_status
Monitor72,ch9,34351,F,7.222222222,Day
Monitor8,ch1,34351,M,10,Day
Monitor8,ch10,34351,M,10.77777778,Day
Monitor8,ch11,34351,M,7.888888889,Day
Monitor8,ch12,34351,M,8.333333333,Day
Monitor8,ch13,34351,M,10,Day
Monitor8,ch14,34351,M,8.666666667,Day
Monitor8,ch15,34351,M,7.444444444,Day
Monitor8,ch16,34351,M,8.111111111,Day
Monitor8,ch17,34351,M,7.111111111,Day
Monitor8,ch18,34351,M,10.11111111,Day
Monitor8,ch19,34351,M,7.444444444,Day
Monitor8,ch2,34351,M,8.333333333,Day
Monitor8,ch20,34351,M,8.333333333,Day
Monitor8,ch21,34351,M,7.333333333,Day
Monitor8,ch22,34351,M,10.22222222,Day
Monitor8,ch23,34351,M,8,Day
Monitor8,ch24,34351,M,10,Day
Monitor8,ch25,34351,M,9,Day
Monitor8,ch26,34351,M,8.666666667,Day
Monitor8,ch27,34351,M,9,Day
Monitor8,ch28,34351,M,10.55555556,Day
Monitor8,ch29,34351,M,11.44444444,Day
Monitor8,ch3,34351,M,11,Day
Monitor8,ch30,34351,M,8.666666667,Day
Monitor8,ch31,34351,M,6.888888889,Day
Monitor8,ch4,34351,M,8.444444444,Day
Monitor8,ch5,34351,M,7.777777778,Day
Monitor8,ch6,34351,M,8.555555556,Day
Monitor8,ch7,34351,M,7.777777778,Day
Monitor8,ch8,34351,M,9.111111111,Day
Monitor8,ch9,34351,M,9.444444444,Day
Monitor20,ch1,35211,F,6.444444444,Night
Monitor20,ch10,35211,F,5.222222222,Night
Monitor20,ch11,35211,F,4.666666667,Night
Monitor20,ch12,35211,F,4.875,Night
Monitor20,ch13,35211,F,7.222222222,Night
Monitor20,ch14,35211,F,6.555555556,Night
Monitor20,ch15,35211,F,5,Night
Monitor20,ch16,35211,F,8,Night
Monitor20,ch18,35211,F,3.666666667,Night
Monitor20,ch19,35211,F,2.75,Night
Monitor20,ch2,35211,F,2.888888889,Night
Monitor20,ch20,35211,F,8.555555556,Night
Monitor20,ch21,35211,F,11.55555556,Night
Monitor20,ch22,35211,F,5.555555556,Night
Monitor20,ch23,35211,F,6.555555556,Night
Monitor20,ch24,35211,F,6.333333333,Night
Monitor20,ch25,35211,F,6.444444444,Night
Monitor20,ch26,35211,F,10,Night
Monitor20,ch27,35211,F,3.333333333,Night
Monitor20,ch28,35211,F,4.333333333,Night
Monitor20,ch29,35211,F,5.555555556,Night
Monitor20,ch3,35211,F,5.125,Night
Monitor20,ch30,35211,F,5.666666667,Night
Monitor20,ch31,35211,F,6.222222222,Night
Monitor20,ch32,35211,F,5.555555556,Night
Monitor20,ch4,35211,F,7.5,Night
Monitor20,ch5,35211,F,7.222222222,Night
Monitor20,ch6,35211,F,5.333333333,Night
Monitor20,ch7,35211,F,2.666666667,Night
Monitor20,ch8,35211,F,4.625,Night
