Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor60,ch16,66945,M,10,Day
Monitor60,ch17,66945,M,10.16666667,Day
Monitor60,ch18,66945,M,10.66666667,Day
Monitor60,ch19,66945,M,13.66666667,Day
Monitor60,ch2,66945,M,7.333333333,Day
Monitor60,ch20,66945,M,5.166666667,Day
Monitor60,ch21,66945,M,7.333333333,Day
Monitor60,ch22,66945,M,6.833333333,Day
Monitor60,ch23,66945,M,9,Day
Monitor60,ch25,66945,M,11.5,Day
Monitor60,ch26,66945,M,9.333333333,Day
Monitor60,ch27,66945,M,9,Day
Monitor60,ch28,66945,M,12.5,Day
Monitor60,ch29,66945,M,11.66666667,Day
Monitor60,ch3,66945,M,8.666666667,Day
Monitor60,ch30,66945,M,13.16666667,Day
Monitor60,ch31,66945,M,6.5,Day
Monitor60,ch32,66945,M,9.166666667,Day
Monitor60,ch4,66945,M,10.33333333,Day
Monitor60,ch5,66945,M,11.83333333,Day
Monitor60,ch6,66945,M,12.83333333,Day
Monitor60,ch7,66945,M,11.83333333,Day
Monitor60,ch8,66945,M,9.666666667,Day
Monitor60,ch9,66945,M,9.5,Day
Monitor63,ch1,56014,F,9.833333333,Day
Monitor63,ch10,56014,F,9.166666667,Day
Monitor63,ch11,56014,F,7.5,Day
Monitor63,ch12,56014,F,6.5,Day
Monitor63,ch13,56014,F,7,Day
Monitor63,ch14,56014,F,5,Day
Monitor63,ch15,56014,F,6.166666667,Day
Monitor63,ch16,56014,F,9.5,Day
Monitor63,ch17,56014,F,7.666666667,Day
Monitor63,ch18,56014,F,6.833333333,Day
Monitor63,ch19,56014,F,8.333333333,Day
Monitor63,ch2,56014,F,6.166666667,Day
Monitor63,ch20,56014,F,4.666666667,Day
Monitor63,ch21,56014,F,11.66666667,Day
Monitor63,ch22,56014,F,4.5,Day
Monitor63,ch23,56014,F,11,Day
Monitor63,ch24,56014,F,12,Day
Monitor63,ch25,56014,F,10.33333333,Day
Monitor63,ch26,56014,F,7.833333333,Day
Monitor63,ch27,56014,F,10.5,Day
Monitor63,ch28,56014,F,8,Day
Monitor63,ch29,56014,F,4.5,Day
Monitor63,ch3,56014,F,8.5,Day
Monitor63,ch30,56014,F,6.5,Day
Monitor63,ch31,56014,F,4.5,Day
Monitor63,ch32,56014,F,11,Day
Monitor63,ch4,56014,F,9.833333333,Day
Monitor63,ch5,56014,F,7.5,Day
Monitor63,ch6,56014,F,9.833333333,Day
Monitor63,ch7,56014,F,6.166666667,Day
Monitor63,ch8,56014,F,7.666666667,Day
Monitor63,ch9,56014,F,5,Day
Monitor72,ch1,66945,F,11,Day
Monitor72,ch10,66945,F,7.666666667,Day
Monitor72,ch11,66945,F,7.166666667,Day
Monitor72,ch12,66945,F,7.333333333,Day
Monitor72,ch13,66945,F,7.833333333,Day
Monitor72,ch14,66945,F,11.16666667,Day
Monitor72,ch15,66945,F,10.83333333,Day
Monitor72,ch16,66945,F,9,Day
Monitor72,ch17,66945,F,4.5,Day
Monitor72,ch18,66945,F,8.833333333,Day
Monitor72,ch19,66945,F,10.5,Day
Monitor72,ch2,66945,F,9.833333333,Day
Monitor72,ch20,66945,F,11.16666667,Day
Monitor72,ch21,66945,F,11.5,Day
Monitor72,ch22,66945,F,7.5,Day
Monitor72,ch23,66945,F,7.333333333,Day
Monitor72,ch24,66945,F,7.5,Day
Monitor72,ch25,66945,F,8.5,Day
Monitor72,ch26,66945,F,15.5,Day
Monitor72,ch27,66945,F,6.833333333,Day
Monitor72,ch28,66945,F,5.833333333,Day
Monitor72,ch29,66945,F,10.33333333,Day
Monitor72,ch3,66945,F,11.66666667,Day
Monitor72,ch30,66945,F,10,Day
Monitor72,ch31,66945,F,12.16666667,Day
Monitor72,ch32,66945,F,7.5,Day
Monitor72,ch4,66945,F,5.333333333,Day
Monitor72,ch5,66945,F,13.5,Day
Monitor72,ch6,66945,F,9.333333333,Day
Monitor72,ch7,66945,F,6.666666667,Day
Monitor72,ch8,66945,F,11.16666667,Day
Monitor72,ch9,66945,F,7.833333333,Day
Monitor75,ch1,55690,M,2.666666667,Day
Monitor75,ch10,55690,M,8.166666667,Day
Monitor75,ch11,55690,M,13.5,Day
Monitor75,ch12,55690,M,7.166666667,Day
Monitor75,ch14,55690,M,5.666666667,Day
Monitor75,ch15,55690,M,9.666666667,Day
Monitor75,ch16,55690,M,7.166666667,Day
Monitor75,ch17,55690,M,5.5,Day
Monitor75,ch18,55690,M,9.666666667,Day
Monitor75,ch19,55690,M,11.16666667,Day
Monitor75,ch2,55690,M,11.83333333,Day
Monitor75,ch20,55690,M,11.83333333,Day
Monitor75,ch21,55690,M,13.16666667,Day
Monitor75,ch22,55690,M,7.833333333,Day
Monitor75,ch24,55690,M,11.83333333,Day
Monitor75,ch25,55690,M,3,Day
Monitor75,ch26,55690,M,9.666666667,Day
Monitor75,ch27,55690,M,10,Day
Monitor75,ch28,55690,M,6.333333333,Day
Monitor75,ch29,55690,M,8.333333333,Day
Monitor75,ch3,55690,M,5.166666667,Day
Monitor75,ch30,55690,M,9.5,Day
Monitor75,ch32,55690,M,15.16666667,Day
Monitor75,ch4,55690,M,9,Day
Monitor75,ch5,55690,M,12.33333333,Day
Monitor75,ch6,55690,M,13.66666667,Day
Monitor75,ch7,55690,M,11.16666667,Day
Monitor75,ch8,55690,M,13.5,Day
Monitor75,ch9,55690,M,10,Day
Monitor77,ch1,64498,F,8.833333333,Day
Monitor77,ch10,64498,F,6,Day
Monitor77,ch11,64498,F,8.5,Day
Monitor77,ch12,64498,F,9.833333333,Day
Monitor77,ch13,64498,F,10.66666667,Day
Monitor77,ch14,64498,F,9.166666667,Day
Monitor77,ch15,64498,F,7.166666667,Day
Monitor77,ch16,64498,F,9.166666667,Day
Monitor77,ch17,64498,F,10.66666667,Day
Monitor77,ch18,64498,F,10.66666667,Day
Monitor77,ch19,64498,F,10.33333333,Day
Monitor77,ch2,64498,F,10.33333333,Day
Monitor77,ch20,64498,F,8.833333333,Day
Monitor77,ch21,64498,F,7.666666667,Day
Monitor77,ch22,64498,F,5.166666667,Day
Monitor77,ch23,64498,F,5.833333333,Day
Monitor77,ch24,64498,F,10.66666667,Day
Monitor77,ch25,64498,F,9.333333333,Day
Monitor77,ch26,64498,F,10.66666667,Day
Monitor77,ch27,64498,F,5.833333333,Day
Monitor77,ch28,64498,F,11.16666667,Day
Monitor77,ch29,64498,F,8.333333333,Day
Monitor77,ch3,64498,F,7.833333333,Day
Monitor77,ch30,64498,F,8.5,Day
Monitor77,ch31,64498,F,10.83333333,Day
Monitor77,ch32,64498,F,12.33333333,Day
Monitor77,ch4,64498,F,12.5,Day
Monitor77,ch5,64498,F,9.333333333,Day
Monitor77,ch6,64498,F,9.5,Day
Monitor77,ch7,64498,F,9.333333333,Day
Monitor77,ch8,64498,F,10.66666667,Day
Monitor77,ch9,64498,F,7.166666667,Day
Monitor7,ch1,Control,F,6.5,Day
Monitor7,ch10,Control,F,10.5,Day
Monitor7,ch11,Control,F,7.333333333,Day
Monitor7,ch12,Control,F,5.833333333,Day
Monitor7,ch13,Control,F,8.666666667,Day
