Monitor,Channel,Line,Sex,Light_Status,mean_sleep_per_ind
Monitor59,ch21,55690,F,Day,0.687731481
Monitor5,ch23,80387,F,Day,0.678009259
Monitor72,ch31,66945,F,Day,0.571064815
Monitor72,ch14,66945,F,Day,0.610648148
Monitor24,ch19,Control,M,Day,0.878703704
Monitor56,ch17,62872,M,Day,0.603703704
Monitor59,ch32,55690,F,Day,0.546064815
Monitor75,ch30,55690,M,Day,0.57037037
Monitor59,ch29,55690,F,Day,0.772685185
Monitor8,ch31,56014,M,Day,0.633796296
Monitor5,ch4,80387,F,Day,0.753240741
Monitor24,ch23,Control,M,Day,0.749537037
Monitor8,ch8,56014,M,Day,0.569675926
Monitor24,ch20,Control,M,Day,0.726851852
Monitor18,ch14,80387,M,Day,0.775231481
Monitor22,ch13,64498,M,Day,0.550231481
Monitor59,ch28,55690,F,Day,0.734953704
Monitor63,ch20,56014,F,Day,0.562731481
Monitor72,ch2,66945,F,Day,0.67037037
Monitor60,ch8,66945,M,Day,0.706944444
Monitor24,ch31,Control,M,Day,0.648842593
Monitor59,ch1,55690,F,Day,0.746296296
Monitor72,ch8,66945,F,Day,0.541435185
Monitor22,ch1,64498,M,Day,0.580555556
Monitor72,ch26,66945,F,Day,0.731712963
Monitor60,ch27,66945,M,Day,0.684722222
Monitor8,ch1,56014,M,Day,0.578240741
Monitor75,ch10,55690,M,Day,0.754398148
Monitor72,ch3,66945,F,Day,0.562962963
Monitor24,ch27,Control,M,Day,0.684027778
Monitor7,ch23,Control,F,Day,0.399305556
Monitor72,ch11,66945,F,Day,0.635648148
Monitor56,ch16,62872,M,Day,0.580555556
Monitor56,ch2,62872,M,Day,0.495601852
Monitor60,ch14,66945,M,Day,0.813194444
Monitor63,ch24,56014,F,Day,0.417361111
Monitor75,ch11,55690,M,Day,0.628703704
Monitor7,ch30,Control,F,Day,0.47662037
Monitor59,ch25,55690,F,Day,0.586805556
Monitor7,ch25,Control,F,Day,0.542361111
Monitor24,ch26,Control,M,Day,0.844907407
Monitor7,ch16,Control,F,Day,0.612731481
Monitor58,ch7,62872,F,Day,0.278009259
Monitor8,ch16,56014,M,Day,0.569675926
Monitor5,ch22,80387,F,Day,0.914814815
Monitor63,ch6,56014,F,Day,0.368518519
Monitor59,ch19,55690,F,Day,0.661805556
Monitor72,ch30,66945,F,Day,0.612037037
Monitor59,ch27,55690,F,Day,0.569675926
Monitor7,ch11,Control,F,Day,0.746759259
Monitor56,ch29,62872,M,Day,0.544907407
Monitor58,ch6,62872,F,Day,0.29537037
Monitor59,ch24,55690,F,Day,0.761574074
Monitor7,ch20,Control,F,Day,0.567361111
